"","dz_2014_strat_0","dz_2014_strat_1","dz_2014_strat_2.5","dz_2014_strat_5","dz_2014_strat_11","dz_2014_strat_15","dz_2014_strat_17","dz_2014_unstrat_0","dz_2014_unstrat_1","dz_2014_unstrat_2.5","dz_2014_unstrat_5","dz_2014_unstrat_11","dz_2014_unstrat_15","dz_2014_unstrat_17","dz_2015_strat_0","dz_2015_strat_1","dz_2015_strat_2.5","dz_2015_strat_5","dz_2015_strat_11","dz_2015_strat_15","dz_2015_strat_17","dz_2015_unstrat_0.25","dz_2015_unstrat_1","dz_2015_unstrat_2.5","dz_2015_unstrat_5","dz_2015_unstrat_11","dz_2015_unstrat_15","dz_2015_unstrat_17","taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species"
"Bac_OTU_246",0,0,0,0,0,0,0,9,20,10,15,40,36,0,21,14,4,10,2,0,3,21,5,12,5,8,36,23,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; MSB-1E8; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","unknowngenus","unknownspecies"
"Bac_OTU_247",0,0,18,62,20,37,63,0,1,0,1,3,95,73,0,0,20,5,12,50,55,0,0,0,1,0,0,61,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_248",0,0,16,12,17,5,15,1,3,1,4,2,54,33,0,0,29,31,21,13,8,0,2,0,0,0,2,35,"Bacteria; Firmicutes; Clostridia; B55-F-B-G02; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","B55-F-B-G02","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_249",0,0,7,10,41,32,6,0,0,0,0,0,1,5,2,0,14,23,11,15,23,5,9,10,18,11,16,14,"Bacteria; Thermotogae; Thermotogae; Petrotogales; Petrotogaceae; Oceanotoga; Oceanotoga sp.","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Oceanotoga","Oceanotogasp."
"Bac_OTU_250",18,32,40,3,12,6,0,0,2,0,0,0,1,1,47,83,9,4,6,4,8,0,1,0,1,0,1,0,"Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Cryomorpha; unknown species","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Cryomorpha","unknownspecies"
"Bac_OTU_251",0,0,1,17,1,21,19,1,0,0,1,0,4,7,0,0,10,8,12,45,65,0,1,0,0,1,1,46,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_252",0,0,13,19,14,60,103,0,0,1,0,0,47,96,1,0,16,11,10,37,50,1,0,1,1,3,0,36,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_253",1,0,2,7,13,33,7,1,2,0,1,0,13,13,3,0,38,51,31,25,24,8,1,5,5,5,6,24,"Bacteria; Lentisphaerae; Oligosphaeria; Oligosphaerales; Oligosphaeraceae; unknown genus; unknown species","Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","Oligosphaeraceae","unknowngenus","unknownspecies"
"Bac_OTU_254",19,16,4,0,0,0,0,3,4,2,2,3,0,0,136,64,8,0,2,0,0,0,0,0,0,0,0,0,"Bacteria; Bacteroidetes; Bacteroidetes Incertae Sedis; Order III; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesIncertaeSedis","OrderIII","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_255",0,0,12,7,17,4,13,0,1,0,0,1,33,13,1,0,18,28,33,16,13,0,0,0,4,4,1,7,"Bacteria; Firmicutes; Clostridia; B55-F-B-G02; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","B55-F-B-G02","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_256",0,0,6,7,12,4,4,0,0,0,0,0,23,21,0,0,14,22,13,21,27,0,0,0,0,1,0,52,"Bacteria; Firmicutes; Clostridia; Clostridiales; Caldicoprobacteraceae; Caldicoprobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter","unknownspecies"
"Bac_OTU_257",0,0,8,17,19,37,20,1,0,0,0,0,18,35,0,0,17,53,18,32,6,0,0,0,1,2,0,11,"Bacteria; Firmicutes; Clostridia; Clostridiales; Caldicoprobacteraceae; Caldicoprobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter","unknownspecies"
"Bac_OTU_258",0,0,7,33,69,63,21,0,0,0,0,0,19,25,0,0,10,22,12,15,4,0,0,0,0,0,0,13,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
"Bac_OTU_259",0,0,8,25,20,13,29,0,0,0,0,0,15,20,0,0,25,31,12,24,26,0,2,4,9,3,3,5,"Bacteria; Firmicutes; Clostridia; Clostridiales; MAT-CR-H4-C10; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","MAT-CR-H4-C10","unknowngenus","unknownspecies"
"Bac_OTU_260",0,0,5,17,12,4,3,0,1,2,0,3,0,14,1,0,38,48,35,12,4,2,2,0,0,1,2,4,"Bacteria; Lentisphaerae; Oligosphaeria; Oligosphaerales; MVP-94; unknown genus; unknown species","Bacteria","Lentisphaerae","Oligosphaeria","Oligosphaerales","MVP-94","unknowngenus","unknownspecies"
"Bac_OTU_261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,22,33,38,23,1,"Bacteria; Proteobacteria; Deltaproteobacteria; Bradymonadales; unknown family; unknown genus; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_264",0,0,1,12,16,103,43,0,0,0,0,0,5,26,0,0,4,9,17,20,25,2,0,5,1,0,0,6,"Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; unknown genus; Synergistales bacterium Syner_01","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","unknowngenus","SynergistalesbacteriumSyner_01"
"Bac_OTU_265",23,31,50,3,4,0,0,18,16,43,35,22,5,3,23,35,4,0,7,2,5,0,0,0,0,0,0,0,"Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Brumimicrobium; unknown species","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Brumimicrobium","unknownspecies"
"Bac_OTU_268",0,0,0,0,7,8,1,0,0,1,1,0,30,4,0,0,6,10,4,18,43,0,1,0,3,1,0,67,"Bacteria; Firmicutes; Clostridia; Halanaerobiales; ODP1230B8.23; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Halanaerobiales","ODP1230B8.23","unknowngenus","unknownspecies"
"Bac_OTU_270",2,2,0,9,11,25,0,0,0,4,0,1,1,4,1,0,4,2,0,8,4,14,9,18,35,20,9,7,"Bacteria; Bacteroidetes; Bacteroidetes BD2-2; unknown order; unknown family; unknown genus; unknown species","Bacteria","Bacteroidetes","BacteroidetesBD2-2","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_271",0,0,1,13,19,42,365,0,0,0,0,0,8,25,0,0,16,20,21,39,30,0,0,0,0,0,0,7,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Candidatus Contubernalis; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","CandidatusContubernalis","unknownspecies"
"Bac_OTU_274",53,11,14,1,7,1,0,0,1,0,2,3,3,0,64,66,9,14,4,1,1,2,11,3,0,2,2,1,"Bacteria; Proteobacteria; Deltaproteobacteria; SAR324 clade(Marine group B); unknown family; unknown genus; unknown species","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324clade(MarinegroupB)","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_282",0,0,3,156,164,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,1,3,0,0,0,0,0,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_284",0,0,12,33,10,19,24,1,0,0,0,0,32,30,2,0,16,52,24,31,18,0,5,1,4,1,2,14,"Bacteria; Chloroflexi; Dehalococcoidia; GIF9; unknown family; unknown genus; unknown species","Bacteria","Chloroflexi","Dehalococcoidia","GIF9","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_307",0,1,9,44,47,36,69,1,0,0,0,0,7,15,0,0,15,29,21,46,62,1,1,0,0,4,0,33,"Bacteria; Firmicutes; Clostridia; Halanaerobiales; ODP1230B8.23; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Halanaerobiales","ODP1230B8.23","unknowngenus","unknownspecies"
"Arc_OTU_1",2241,980,14093,19594,17512,22052,19724,5539,6164,4917,5047,4980,11093,17067,1783,981,9601,10111,12212,12545,7496,3935,4392,4055,10111,4547,3409,9937,"Archaea; WSA2; unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","WSA2","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_4",2020,1198,7121,5338,5111,3919,3120,11408,11124,9885,9304,10977,4546,5034,4304,3894,8051,4978,5613,6239,4551,9859,10773,12420,4978,11759,12938,3152,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_5",3634,4641,2850,1820,1551,1278,2116,5668,5330,4943,5646,5408,4770,1448,3288,3048,2630,1438,2388,2751,2865,2256,2530,2164,1438,1798,1406,4011,"Archaea; WSA2; WCHA1-57; unknown order; unknown family; unknown genus; unknown species","Archaea","WSA2","WCHA1-57","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_7",3914,1995,154,35,81,8,16,4181,4159,6036,5680,4907,68,7,2832,4240,192,52,127,71,28,1180,1124,1221,52,1110,1314,42,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_8",5825,7284,683,247,337,83,61,3586,3222,3195,3350,3167,371,93,3429,4577,677,373,460,327,217,1485,1464,1452,373,1467,1042,258,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_9",1294,1678,3625,3361,3868,1880,3396,223,188,309,360,223,6881,2693,2584,2391,7288,9608,7760,5939,8025,547,564,371,9608,634,363,6087,"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; LR-13; unknown genus; unknown species","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","LR-13","unknowngenus","unknownspecies"
"Arc_OTU_10",3517,2647,1051,456,412,112,80,1587,1599,1906,2284,1742,86,147,311,746,164,125,94,57,10,244,250,285,125,218,180,20,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_11",1079,1622,9,4,3,2,5,2493,2202,2987,2435,2753,21,0,386,217,8,7,6,7,1,368,303,311,7,347,348,4,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_12",3792,4849,39,2,14,1,2,2,0,15,7,0,0,0,164,100,8,5,1,13,5,9819,8341,7880,5,8009,8477,52,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_13",199,281,1703,1631,1951,1672,2046,72,76,272,126,115,2659,2912,340,361,979,532,996,2326,4512,614,486,525,532,416,648,2992,"Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; KTK 4A; unknown genus; unknown species","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","KTK4A","unknowngenus","unknownspecies"
"Arc_OTU_14",639,290,618,505,515,2169,2498,44,80,213,191,159,3434,2289,1446,813,836,836,799,1201,2616,222,186,151,836,152,228,2484,"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiales Incertae Sedis; Methanocalculus; Multi-affiliation","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","MethanomicrobialesIncertaeSedis","Methanocalculus","Multi-affiliation"
"Arc_OTU_15",3247,4061,168,18,12,0,3,6,7,0,94,11,0,3,555,1213,8,2,1,1,1,0,4,3,2,3,2,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_16",496,716,616,682,980,804,921,34,63,45,34,92,548,1117,237,277,225,315,231,215,521,65,46,24,315,17,83,199,"Archaea; Miscellaneous Euryarchaeotic Group(MEG); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","MiscellaneousEuryarchaeoticGroup(MEG)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_17",150,688,393,887,977,931,946,12,30,54,30,86,237,1814,94,0,132,146,132,150,177,43,21,17,146,11,81,108,"Archaea; Miscellaneous Euryarchaeotic Group(MEG); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","MiscellaneousEuryarchaeoticGroup(MEG)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_18",10,0,27,4,16,4,4,838,1083,523,874,597,16,0,10,0,6,2,5,1,0,3,6,0,2,3,2,1,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_19",77,37,757,853,1234,624,889,77,100,124,124,122,493,839,6,0,124,128,149,156,207,55,43,83,128,26,33,88,"Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; KTK 4A; unknown genus; unknown species","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","KTK4A","unknowngenus","unknownspecies"
"Arc_OTU_21",0,0,1,1,0,2,0,412,537,517,429,411,7,0,33,118,57,15,34,6,0,532,494,848,15,877,1078,11,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_22",1309,1433,29,3,0,0,1,2,2,2,0,2,1,0,3351,2539,7,0,2,1,1,2,0,3,0,1,0,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_23",1695,1161,117,15,8,4,2,3,2,0,0,4,0,0,206,288,35,40,17,4,0,197,172,185,40,249,258,1,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_24",392,473,131,132,171,26,15,150,290,195,267,174,8,26,183,22,30,34,36,17,4,419,387,439,34,492,408,5,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_25",218,72,560,115,118,39,22,211,179,157,208,264,230,55,985,648,586,288,689,560,325,276,322,229,288,202,121,478,"Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium; unknown species","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","unknownspecies"
"Arc_OTU_26",301,370,896,318,313,38,37,27,33,12,27,105,24,47,677,996,435,349,367,90,50,75,99,34,349,44,41,2,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_27",157,72,131,216,112,447,314,96,40,161,71,101,164,280,460,0,224,302,200,104,103,181,254,133,302,105,78,21,"Archaea; Miscellaneous Euryarchaeotic Group(MEG); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","MiscellaneousEuryarchaeoticGroup(MEG)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,72,630,668,914,603,682,300,345,281,668,337,292,686,"Archaea; WSA2; unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","WSA2","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_29",16,1,15,3,4,0,2,2,4,2,1,0,3,2,3324,2965,14,2,2,3,2,963,866,821,2,1210,949,8,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_30",18,3,9,11,47,111,223,26,15,8,21,30,271,85,168,103,98,86,136,553,1150,45,17,33,86,19,16,2919,"Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta; Multi-affiliation","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta","Multi-affiliation"
"Arc_OTU_31",43,22,338,283,324,227,203,137,175,155,177,253,156,468,123,86,252,335,245,199,178,196,173,171,335,171,191,84,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_32",70,29,60,41,117,43,53,63,217,71,39,87,9,65,79,57,21,16,25,15,9,30,23,17,16,12,21,6,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,52,397,1571,621,384,519,231,247,174,1571,220,211,426,"Archaea; WSA2; unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","WSA2","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,117,271,248,193,208,153,365,475,431,248,429,525,110,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,640,500,424,0,413,469,7,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,149,429,469,513,349,532,35,34,30,469,49,39,482,"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; LR-13; unknown genus; unknown species","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","LR-13","unknowngenus","unknownspecies"
"Arc_OTU_39",31,9,55,132,204,105,106,1,3,0,17,5,42,195,7,0,16,57,17,13,42,11,9,6,57,3,1,8,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,992,52,33,30,19,5,250,269,230,33,280,313,10,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_44",7,1,8,5,3,10,13,66,107,108,95,31,12,6,20,46,31,51,18,20,8,4,2,5,51,3,2,24,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,458,409,988,379,344,423,287,425,291,988,230,201,580,"Archaea; WSA2; WCHA1-57; unknown order; unknown family; unknown genus; unknown species","Archaea","WSA2","WCHA1-57","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_46",52,398,0,0,0,0,0,3,1,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_47",33,25,0,0,1,1,1,2,6,0,0,5,0,0,1080,1481,6,17,3,3,7,2,10,3,17,1,3,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_48",20,2,33,46,32,10,11,5,8,0,16,4,53,4,83,258,353,499,229,59,54,52,41,42,499,27,21,28,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,89,406,469,326,240,492,22,31,23,469,21,38,406,"Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiales Incertae Sedis; Methanocalculus; Multi-affiliation","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","MethanomicrobialesIncertaeSedis","Methanocalculus","Multi-affiliation"
"Arc_OTU_50",28,17,20,13,14,4,12,57,41,65,39,66,9,6,15,14,15,6,10,9,17,4,2,5,6,7,31,6,"Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanolobus; Multi-affiliation","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","Multi-affiliation"
"Arc_OTU_51",56,5,114,67,233,23,17,0,0,1,0,2,2,34,2,0,0,1,1,0,0,0,0,0,1,2,0,13,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_52",16,0,31,25,12,9,3,64,95,13,66,10,10,5,3,0,1,0,0,0,0,14,7,40,0,9,4,1,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_53",1,2,15,9,13,2,4,69,38,70,10,34,44,5,45,0,43,51,24,31,33,6,4,6,51,17,9,27,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_54",77,0,10,1,0,0,0,4,5,0,4,10,27,0,35,155,337,459,334,367,81,3,2,0,459,1,0,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_55",30,12,88,5,2,0,11,52,3,32,36,8,37,1,82,97,21,53,11,7,12,8,17,6,53,30,5,66,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; archaeon GW2011_AR16","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","archaeonGW2011_AR16"
"Arc_OTU_56",1,3,66,55,50,35,58,2,0,1,0,1,82,76,4,115,41,39,36,56,61,4,0,0,39,0,3,46,"Archaea; Hadesarchaea; unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Hadesarchaea","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_57",23,7,85,25,104,13,11,4,1,70,12,10,9,24,0,0,7,1,3,16,19,3,5,0,1,1,3,10,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_58",59,56,129,34,27,0,4,3,1,26,1,3,0,2,91,0,51,68,32,4,1,49,29,43,68,68,60,0,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; Multi-affiliation","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","Multi-affiliation"
"Arc_OTU_59",0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Multi-affiliation; Multi-affiliation","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Multi-affiliation","Multi-affiliation"
"Arc_OTU_60",25,10,68,93,37,28,30,4,3,19,15,8,32,37,116,0,8,9,7,4,6,7,11,24,9,4,5,3,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
"Arc_OTU_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,50,142,348,96,88,74,195,216,207,348,203,255,60,"Archaea; Woesearchaeota (DHVEG-6); unknown class; unknown order; unknown family; unknown genus; unknown species","Archaea","Woesearchaeota(DHVEG-6)","unknownclass","unknownorder","unknownfamily","unknowngenus","unknownspecies"
