"","dz_2014_strat_0","dz_2014_strat_1","dz_2014_strat_2.5","dz_2014_strat_5","dz_2014_strat_11","dz_2014_strat_15","dz_2014_strat_17","dz_2014_unstrat_0","dz_2014_unstrat_1","dz_2014_unstrat_2.5","dz_2014_unstrat_5","dz_2014_unstrat_11","dz_2014_unstrat_15","dz_2014_unstrat_17","dz_2015_strat_0","dz_2015_strat_1","dz_2015_strat_2.5","dz_2015_strat_5","dz_2015_strat_11","dz_2015_strat_15","dz_2015_strat_17","dz_2015_unstrat_0.25","dz_2015_unstrat_1","dz_2015_unstrat_2.5","dz_2015_unstrat_5","dz_2015_unstrat_11","dz_2015_unstrat_15","dz_2015_unstrat_17","taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species"
"Bac_OTU_152",44,33,9,6,1,8,0,28,19,30,32,36,12,0,103,65,3,7,1,1,1,133,169,142,141,127,105,33,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_153",0,0,0,2,8,0,1,1,0,0,0,0,10,0,8,0,97,129,103,132,110,0,2,3,1,5,0,94,"Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; CMW-169; unknown genus; unknown species","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","CMW-169","unknowngenus","unknownspecies"
"Bac_OTU_154",23,7,0,0,0,0,0,0,0,0,0,2,0,0,348,248,28,4,4,1,0,3,9,8,16,13,8,0,"Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; MD3-55; unknown genus; unknown species","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","MD3-55","unknowngenus","unknownspecies"
"Bac_OTU_155",18,18,4,6,5,0,0,28,19,13,12,37,8,0,46,58,10,37,18,7,0,61,97,83,53,35,52,16,"Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; unknown genus; unknown species","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","unknowngenus","unknownspecies"
"Bac_OTU_156",0,0,7,9,13,15,16,1,0,0,2,1,14,7,0,0,57,75,62,60,120,11,6,13,11,5,1,183,"Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; ML635J-40 aquatic group; unknown genus; unknown species","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","ML635J-40aquaticgroup","unknowngenus","unknownspecies"
"Bac_OTU_157",0,0,7,38,16,39,35,8,3,3,5,11,146,42,0,0,49,64,46,72,164,6,6,2,0,11,4,208,"Bacteria; Firmicutes; Clostridia; ML635J-38; unknown family; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","ML635J-38","unknownfamily","unknowngenus","unknownspecies"
"Bac_OTU_158",24,21,7,0,0,0,0,26,15,11,18,39,1,0,49,62,0,1,0,1,0,67,105,81,47,42,35,2,"Bacteria; Actinobacteria; Nitriliruptoria; Nitriliruptorales; Nitriliruptoraceae; unknown genus; unknown species","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","unknowngenus","unknownspecies"
"Bac_OTU_159",0,0,9,81,101,285,315,0,2,0,0,2,37,205,1,5,26,35,84,142,103,3,3,2,1,5,1,49,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_160",2,0,49,110,145,227,104,0,1,3,0,3,14,205,1,11,42,69,33,34,50,1,0,0,6,4,2,19,"Bacteria; Acidobacteria; Holophagae; Subgroup 10; Sva0725; unknown genus; unknown species","Bacteria","Acidobacteria","Holophagae","Subgroup10","Sva0725","unknowngenus","unknownspecies"
"Bac_OTU_161",11,0,21,8,55,38,31,0,1,1,0,4,94,47,6,1,15,19,6,17,82,17,13,14,10,0,4,277,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; unknown genus; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","unknowngenus","unknownspecies"
"Bac_OTU_162",110,33,24,13,21,1,3,101,141,160,145,119,13,8,50,35,20,34,20,16,8,28,21,22,19,29,16,2,"Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodovulum; Multi-affiliation","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Multi-affiliation"
"Bac_OTU_163",1,0,13,24,17,34,31,0,0,0,0,0,91,21,0,0,52,57,57,115,99,1,1,2,1,4,2,110,"Bacteria; Firmicutes; Clostridia; Clostridiales; Syntrophomonadaceae; Dethiobacter; unknown species","Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Dethiobacter","unknownspecies"
